_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold
0,0,2285,don of the bimini twist," japanese,american,seafood",4154951900, free wifi,94107,soma neighborhood,the bimini twist," personal chefs,american (new)",4154951900,"reservations, creditcard, bikeparking, goodforgroups, waiterservice, caters",94107,188 king street ph7,0
1,1,1267,kokkari estiatorio," mediterranean,greek",4159810983," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94111,200 jackson street,kokkari estiatorio," greek,mediterranean",4159810983,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94111,200 jackson street,0
2,10,1105,taylor street coffee shop," american, contemporary,cafe",4155674031," takeout, seating, waitstaff",94102,375 taylor street,taylor street coffee shop," breakfast & brunch,burgers,sandwiches",4155674031,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94102,375 taylor street,0
3,10,2734,taylor street coffee shop," american, contemporary,cafe",4155674031," takeout, seating, waitstaff",94102,375 taylor street,taylor street coffee shop," breakfast & brunch,burgers,sandwiches",4155674031,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94102,375 taylor street,0
4,10,2902,taylor street coffee shop," american, contemporary,cafe",4155674031," takeout, seating, waitstaff",94102,375 taylor street,taylor street coffee shop," breakfast & brunch,burgers,sandwiches",4155674031,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94102,375 taylor street,0
5,100,2259,quince,,4157758500," waitstaff, parking available, valet parking, wheelchair accessible, serves alcohol, full bar, accepts american express, accepts mastercard, accepts visa, accepts discover, reservations, private dining, seating",94133,470 pacific avenue,quince," french,italian",4157758500,"reservations, creditcard, goodforgroups, waiterservice",94133,470 pacific avenue,0
6,1000,1308,piqueos," peruvian,latin,spanish",4152828812," reservations, seating, waitstaff, serves alcohol",94110,830 cortland,piqueo‰Û¡ÌÝå»s," latin american,peruvian",4152828812,"reservations, takeout, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94110,830 cortland avenue,0
7,1001,1820,lobster me," american,seafood,fast food",," takeout, seating, wheelchair accessible",94103,865 market street in westfield,spa nordstrom," day spas,massage,cosmetics & beauty supply",4159775102,creditcard,94103,865 market street,0
8,1001,1989,lobster me," american,seafood,fast food",," takeout, seating, wheelchair accessible",94103,865 market street in westfield,club monaco san francisco - women‰Û¡ÌÝå»s, women's clothing,4158560828,"creditcard, bikeparking",94108,865 market street,0
9,1001,2616,lobster me," american,seafood,fast food",," takeout, seating, wheelchair accessible",94103,865 market street in westfield,soho, accessories,4155431021,creditcard,94105,865 market street,0
10,1001,2864,lobster me," american,seafood,fast food",," takeout, seating, wheelchair accessible",94103,865 market street in westfield,soho, accessories,4155431021,creditcard,94105,865 market street,0
11,1005,293,angel cafe, cafe,," outdoor seating, seating, takeout",,700 geary street,angel cafe &amp; deli," coffee & tea,sandwiches",4159313467,"reservations, takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, hastv, caters",94109,700 geary street,0
12,1006,1175,cha cha cha," caribbean,latin, bar,spanish,pub,cuban",4158241502," seating, waitstaff, serves alcohol",94110,2327 mission street,cha cha cha," tapas bars,latin american",4153867670,"takeout, creditcard, bikeparking, goodforgroups, waiterservice, caters",94117,1801 haight street,0
13,1007,968,tara indian cuisine, indian,4158616655," takeout, seating, waitstaff",94114,2217 market street,tara indian cuisine, indian,4158616655,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94114,2217 market street,0
14,1008,1127,the market," sushi,vegan options",," takeout, wheelchair accessible",94103,1355 market street,blue bottle coffee, coffee & tea,5106533394,"takeout, creditcard, applepay, bikeparking, outdoorseating",94103,1355 market street,0
15,1008,1224,the market," sushi,vegan options",," takeout, wheelchair accessible",94103,1355 market street,azalina‰Û¡ÌÝå»s," malaysian,chicken shop,soup",4156602020,"delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94103,1355 market street,0
16,1008,2924,the market," sushi,vegan options",," takeout, wheelchair accessible",94103,1355 market street,blue bottle coffee, coffee & tea,5106533394,"takeout, creditcard, applepay, bikeparking, outdoorseating",94103,1355 market street,0
17,1011,1199,marnee thai - ninth," asian,thai",4157319999," takeout, seating, waitstaff, reservations, serves alcohol",94122,1243 9th avenue,marnee thai, thai,4157319999,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94122,1243 9th avenue,0
18,1012,589,cafe isabella," cafe,mexican",, seating,94133,1414 taylor street,cafe isabella," coffee & tea,breakfast & brunch,sandwiches",4153783241,"takeout, creditcard, goodforkids, outdoorseating",94133,1414 taylor street,0
19,1013,1019,martuni's bar," international,pub",4152410205," seating, serves alcohol, waitstaff, wheelchair accessible",,"4 valencia street,at corner of market street",martuni‰Û¡ÌÝå»s," lounges,karaoke",4152410205,"creditcard, goodforgroups",94103,4 valencia street,0
20,1013,2061,martuni's bar," international,pub",4152410205," seating, serves alcohol, waitstaff, wheelchair accessible",,"4 valencia street,at corner of market street",henri hubert," men's clothing,women's clothing,antiques",4157637770,creditcard,94103,845 market street  fl 4,0
21,1014,834,craftsman and wolves," american,cafe, contemporary,french",4158551414," accepts american express, accepts mastercard, accepts visa, accepts discover, seating, wheelchair accessible",94109,1643 pacific avenue,craftsman and wolves - the den," coffee & tea,bakeries,sandwiches",4154233337,"takeout, creditcard, bikeparking, outdoorseating, caters",94124,1598 yosemite avenue,0
22,1014,973,craftsman and wolves," american,cafe, contemporary,french",4158551414," accepts american express, accepts mastercard, accepts visa, accepts discover, seating, wheelchair accessible",94109,1643 pacific avenue,craftsman and wolves," bakeries,cafes,patisserie/cake shop",4159137713,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, caters",94110,746 valencia street,0
23,1015,1820,ajisen ramen," japanese,asian",4153570288," seating, waitstaff, wheelchair accessible, takeout",94103,865 market street,spa nordstrom," day spas,massage,cosmetics & beauty supply",4159775102,creditcard,94103,865 market street,0
24,1015,1989,ajisen ramen," japanese,asian",4153570288," seating, waitstaff, wheelchair accessible, takeout",94103,865 market street,club monaco san francisco - women‰Û¡ÌÝå»s, women's clothing,4158560828,"creditcard, bikeparking",94108,865 market street,0
25,1015,2616,ajisen ramen," japanese,asian",4153570288," seating, waitstaff, wheelchair accessible, takeout",94103,865 market street,soho, accessories,4155431021,creditcard,94105,865 market street,0
26,1015,2864,ajisen ramen," japanese,asian",4153570288," seating, waitstaff, wheelchair accessible, takeout",94103,865 market street,soho, accessories,4155431021,creditcard,94105,865 market street,0
27,1018,1033,udupi palace," indian,gluten free options",4154478400," delivery, takeout, seating, waitstaff, wheelchair accessible",,1007 valencia street,udupi palace," indian,vegetarian",4159708000,"reservations, delivery, takeout, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94110,1007 valencia street,0
28,102,2281,morton's - the steakhouse," american,steakhouse",4159865830," reservations, private dining, seating, waitstaff, television, wheelchair accessible, serves alcohol, full bar",94102,400 post street,morton‰Û¡ÌÝå»s the steakhouse, steakhouses,4159865830,"reservations, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94102,400 post street lower level,0
29,1020,1029,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,limÌÎ_n rotisserie," latin american,peruvian,tapas/small plates",4158212134,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice, caters",94110,1001 s van ness avenue,0
30,1020,1049,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness avenue,0
31,1020,1095,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,corridor cafe," coffee & tea,sandwiches,breakfast & brunch",4154004979,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, caters",94102,100 van ness avenue,0
32,1020,1198,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,helmand palace," afghan,salad,soup",4153450072,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94109,2424 van ness avenue,0
33,1020,1208,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,ho‰Û¡ÌÝå»s bootleg tavern," american (new),sports bars",4158727773,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94109,2360 van ness avenue,0
34,1020,1261,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness avenue,0
35,1020,1309,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,ruth‰Û¡ÌÝå»s chris steak house," steakhouses,wine bars",4156730557,"reservations, takeout, creditcard, goodforgroups, waiterservice",94109,1601 van ness avenue,0
36,1020,1365,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,dainese d-store," motorcycle gear,ski & snowboard shops",4156265478,"creditcard, applepay, bikeparking",94103,131 s van ness avenue,0
37,1020,1368,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,music exchange, musical instruments & teachers,4155520445,creditcard,94102,700 van ness avenue,0
38,1020,1442,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,davies symphony hall," performing arts,music venues,venues & event spaces",4156216600,"creditcard, bikeparking, goodforkids, goodforgroups",94102,201 van ness avenue,0
39,1020,1446,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,matterhorn restaurant," fondue,german",4158856116,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,2323 van ness avenue,0
40,1020,1456,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,san francisco symphony," performing arts,music venues",4158646000,"creditcard, bikeparking, goodforkids, goodforgroups",94102,201 van ness avenue,0
41,1020,17,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,philz coffee, coffee & tea,4152927660,"takeout, creditcard, applepay, bikeparking",94102,748 van ness avenue,0
42,1020,1717,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,"alyson mititieri, le"," medical spas,hair removal,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness avenue,0
43,1020,1723,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,beaux gateaux wedding cakes," bakeries,desserts",4157543043,"delivery, creditcard, bikeparking",94109,2100 van ness avenue,0
44,1020,1756,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,"edward p miranda, md facs"," cosmetic surgeons,medical spas",4153799015,"creditcard, bikeparking",94102,77 van ness avenue,0
45,1020,1779,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,pacific plastic surgery group," cosmetic surgeons,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness avenue,0
46,1020,178,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,bender‰Û¡ÌÝå»s bar and grill," dive bars,american (traditional)",4158241800,"reservations, bikeparking, goodforgroups, outdoorseating, hastv",94110,806 s van ness avenue,0
47,1020,1796,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,cafÌÎå© at the opera," cafes,american (traditional),sandwiches",4158618150,"reservations, creditcard, goodforgroups, waiterservice, caters",94102,301 van ness avenue,0
48,1020,202,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness avenue,flying pig bistro pub," sandwiches,pubs,sports bars",4159341234,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94103,433 s van ness avenue,0
