_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold
312,1013,458,martuni's bar," international,pub",4152410205," seating, serves alcohol, waitstaff, wheelchair accessible",,"4 valencia street,at corner of market street",r bar, dive bars,4155677441,"creditcard, goodforgroups, hastv",94109,1176 sutter st,0
423,1020,507,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness ave,geary club, dive bars,4159284516,hastv,94109,768 geary st,0
868,1104,2652,mango's taqueria and cantina," mexican, southwestern,latin,spanish",4154345000," outdoor seating, seating, waitstaff, television, serves alcohol, full bar, takeout, highchairs available, wheelchair accessible",,"pier 39, suite 255",c. mariani antiques, antiques,4155417868,creditcard,94103,1301 harrison st,0
902,1104,810,mango's taqueria and cantina," mexican, southwestern,latin,spanish",4154345000," outdoor seating, seating, waitstaff, television, serves alcohol, full bar, takeout, highchairs available, wheelchair accessible",,"pier 39, suite 255",the city taqueria, mexican,4153463515,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, caters",94115,1836 divisadero st,0
910,1104,913,mango's taqueria and cantina," mexican, southwestern,latin,spanish",4154345000," outdoor seating, seating, waitstaff, television, serves alcohol, full bar, takeout, highchairs available, wheelchair accessible",,"pier 39, suite 255",chicks and love pizza patio," pizza,breakfast & brunch,coffee & tea",4159126648,"reservations, delivery, takeout, creditcard, applepay, bikeparking, goodforkids, goodforgroups, outdoorseating, caters",94103,1701 folsom st,0
1028,1124,217,the spice jar," asian,korean",4158293668,,94110,"2500 bryant street,cross street is 23rd street",the homestead, bars,4152824663,"creditcard, bikeparking, goodforgroups",94110,2301 folsom st.,0
1512,118,428,off the grid," fast food,international",4157796684," takeout, outdoor seating, wheelchair accessible, serves alcohol",,fort mason center parking lot buchanan st & marina blvd,the mission fruit cart," food stands,mexican",,"takeout, goodforkids, goodforgroups",94110,mission st. at 21st st.,0
1517,118,492,off the grid," fast food,international",4157796684," takeout, outdoor seating, wheelchair accessible, serves alcohol",,fort mason center parking lot buchanan st & marina blvd,the little spot cafe," coffee & tea,bagels,sandwiches",4155501800,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, waiterservice",94110,1199 s van ness ave,0
1579,1187,2053,the cafe majestic," american,cafe",4154411280," reservations, waitstaff, seating, serves alcohol",94109,1500 sutter st,the hundreds," women's clothing,men's clothing,shoe stores",4158179912,"creditcard, bikeparking",94109,585 post st,0
1627,1195,821,cafe franco,,4157717277,,94123,"fort mason,bldg 240",cafe franco," salad,sandwiches,cafes",4157712268,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv",94123,240 fort mason,1
1883,1256,1213,kichi grill,,4155387894,,,westfield ,saffron grill, indian,4155675100,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, waiterservice, caters",94117,1279 fulton st,0
1951,1268,1024,soluna cafe and lounge," american, bar,pub",4156212200," reservations, seating, waitstaff, wheelchair accessible, serves alcohol",94102,272 mcallister st,kittea cat cafe," cafes,tea rooms,pet adoption",4156587888,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups",94102,96 gough st,0
2614,1343,2095,the morris,,4156128480,,,2501 mariposa street,the hound clothiers, men's clothing,4159890429,"creditcard, bikeparking",94104,140 sutter st,0
2902,1385,703,primo patio cafe, caribbean,4159571129," seating, outdoor seating",94107,214 townsend st,caffe centro," sandwiches,coffee & tea,breakfast & brunch",4158821500,"delivery, takeout, creditcard, bikeparking, goodforkids, outdoorseating, hastv, caters",94107,102 s park st,0
2992,1398,1261,house of thai," asian,thai",4154412248," delivery, television, takeout, seating, serves alcohol, wine and beer, accepts mastercard, accepts visa, reservations, waitstaff, wheelchair accessible",94109,901 larkin st,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness ave,0
3322,1427,697,the boy's deli,,4157763099,,94109,2222 polk st,the buccaneer, dive bars,4156738023,"creditcard, applepay, bikeparking, goodforgroups, hastv",94109,2155 polk st,0
3344,1432,1331,teo restaurant & bar, chinese,4156268366," reservations, wheelchair accessible",94103,"1111 mission street,&th; & mission",st. regis hotel lobby bar, bars,4152844000,"creditcard, bikeparking, goodforgroups",94103,125 3rd st,0
3445,1445,986,new alternatives cafe,,4158265282,,94110,1600 guerrero st,cafe st. jorge," coffee & tea,breakfast & brunch",4158142028,"takeout, creditcard, applepay, bikeparking, goodforkids, caters",94110,3438 mission st,0
3499,1453,2044,the north star cafe,,4153970577,,94133,1560 powell st,the nature stop," grocery,health markets",4153983810,"takeout, creditcard, bikeparking",94133,1336 grant ave,0
3552,1460,1409,la santaneca de la mission," latin,mexican,american,spanish,south american, central american",4152852131, seating,94110,2815 mission st,mission bicycle," bikes,bike rentals",4156836166,"creditcard, bikeparking, goodforkids",94110,766 valencia st,0
3605,1469,1254,cafe st. jorge,,4158142028," takeout, seating, highchairs available, wheelchair accessible, serves alcohol, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover",94110,3438 mission st,heirloom cafe," cafes,french,italian",4158212500,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94110,2500 folsom st,0
3650,1475,2186,holy kitchen," indian,vegetarian friendly",4156484416, reservations,94114,24th street,kvÌÎ_num kitchens," interior design,kitchen & bath",4153999445,"creditcard, bikeparking",,,0
3742,1489,1771,pier 39 dreyer's grand ice cream shop,,4153983152,,94103,"pier 39 marina, pier 39, 2 beach st,building q level-1",peoples barber &amp; shop, barbers,4154005955,"creditcard, bikeparking",94103,321 valencia st,0
4011,1548,568,pho tan hoa," asian,vietnamese",6509471290," takeout, seating, waitstaff",94102,"431 jones st,between antonio st & ellis st",pharaohs mediterranean sandwich," mediterranean,sandwiches",4152927271,"delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94102,608 geary st,0
4361,1596,1291,taiwan restaurant," chinese,asian",4153871789," seating, waitstaff",94118,445 clement st,kabuto restaurant," sushi bars,japanese",4157525652,"reservations, takeout, creditcard, bikeparking, waiterservice",94118,5121 geary blvd,0
4398,1602,20,cypress grill, american,,,,"harding park,99 harding road",basa seafood express," seafood,sandwiches,burgers",4155502388,"delivery, takeout, creditcard, bikeparking, goodforkids, caters",94110,3064 24th st,0
4463,1617,885,mega mouth burgers & beers, american,4158214821, seating,94110,3392 24th st,in-n-out burger," fast food,burgers",8007861000,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",,,0
4556,1641,1177,split, american,4152968009," takeout, seating, wine and beer, accepts american express, accepts mastercard, accepts visa, accepts discover, delivery, outdoor seating, wheelchair accessible, serves alcohol",94103,145 4th street,split pea seduction," sandwiches,soup,salad",4155512223,"delivery, takeout, creditcard, bikeparking, caters",94103,138 6th st,0
4691,1643,447,the salad place, american,,,,400 london street,the chai cart," coffee & tea,street vendors",4157354519,"takeout, creditcard",94110,560 valencia st,0
4721,1643,795,the salad place, american,,,,400 london street,the lucky horseshoe," dive bars,music venues,sports bars",4152823456,"bikeparking, goodforgroups, hastv",94110,453 cortland ave,0
4758,1650,337,cafe seventy8, american,,,94110,"78 29th st,bernal heights",cafe la taza," coffee & tea,latin american",4158247717,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94110,2475 mission st,0
4761,1650,383,cafe seventy8, american,,,94110,"78 29th st,bernal heights",red cafe," diners,breakfast & brunch",4152821515,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice",94110,2894 mission st,0
4844,168,1945,4505 burgers & bbq," american,barbecue",," takeout, outdoor seating, seating, wheelchair accessible, serves alcohol",94117,705 divisadero st,bbrooks fine flowers, florists,4156745599,creditcard,94117,425 divisidero st,0
4865,1682,2291,beard papa sweets cafe san francisco shopping center,,4159789975,,94103,"845 market st,ste fe16",the st. regis san francisco, hotels,4152844000,creditcard,94103,125 3rd street,0
5023,1703,491,howard's cafe," cafe, diner,american",4155644723," seating, waitstaff, wheelchair accessible",94122,1309 9th ave,howard‰Û¡ÌÝå»s cafe," american (traditional),diners,breakfast & brunch",4155644723,"takeout, bikeparking, goodforkids, goodforgroups, waiterservice",94122,1309 9th ave,1
5092,171,866,the eagle cafe, seafood,4154333689," outdoor seating, seating, waitstaff, wheelchair accessible, serves alcohol, full bar, reservations, highchairs available",94133,"39 pier,ste 201",the red jack saloon," sports bars,dive bars",4159890700,"creditcard, bikeparking, goodforgroups, hastv",94133,131 bay st,0
5153,172,2676,chowders," american,seafood,fast food,soups",4153914737," takeout, outdoor seating, seating, wheelchair accessible, serves alcohol",94133,"39 pier,fishermans' wharf area",easyfinders," mobile phones,mobile phone repair",4154683883,creditcard,,,0
5550,1782,391,grand mission donuts and bakery,,4156218987,,94110,2195 mission st,mission hill saloon, dive bars,4155525545,"bikeparking, goodforgroups, hastv",94110,491 potrero ave,0
5604,1785,653,5s5 steak house, steakhouse,,,,financial district,jake‰Û¡ÌÝå»s steaks," sandwiches,sports bars,cheesesteaks",4159222211,"delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, waiterservice",94123,3301 buchanan st,0
5607,1785,801,5s5 steak house, steakhouse,,,,financial district,punjab kabab house," indian,pakistani,halal",4154477499,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94102,101 eddy st,0
5771,182,407,caffe trieste, cafe,4159822605," takeout, seating, wheelchair accessible",94133,609 vallejo st,stella pastry &amp; cafe," bakeries,coffee & tea",4159862914,"takeout, creditcard, bikeparking",94133,446 columbus ave,0
5847,1830,19,mission bar,,4156472300,,94110,2695 mission st,faye‰Û¡ÌÝå»s video &amp; espresso bar," videos & video game rental,coffee & tea",4155220434,"takeout, creditcard, bikeparking, outdoorseating",94110,3614 18th st,0
6085,1876,2089,the art bistro,,4153797119,,94121,6900 geary blvd,the art of shaving," cosmetics & beauty supply,barbers",4155419801,creditcard,,,0
6188,1891,2012,izzy's cafe,,8887073030,,,2 infinite loop,chiu‰Û¡ÌÝå»s acupuncture &amp; dr jenny‰Û¡ÌÝå»s dermatology skin care," acupuncture,skin care",4156686789,creditcard,94118,323 6th ave,0
6239,1891,530,izzy's cafe,,8887073030,,,2 infinite loop,greenhouse cafe," coffee & tea,cafes,tea rooms",4157425545,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94127,329 w portal ave,0
6244,1891,554,izzy's cafe,,8887073030,,,2 infinite loop,all star cafe," donuts,coffee & tea,breakfast & brunch",4158634949,"delivery, takeout, creditcard, goodforkids, goodforgroups, hastv, caters",94103,98 9th st,0
