id,title,cuisine,phone,feature,zipcode,street_addr
0,Don of The Bimini Twist," Japanese,American,Seafood",4154951900, Free Wifi,94107,SOMA Neighborhood
1,Kokkari Estiatorio," Mediterranean,Greek",4159810983," Reservations, Private Dining, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar",94111,200 Jackson Street
2,Molinari Delicatessen," Italian,Delicatessen",4154212337," Takeout, Outdoor Seating, Wheelchair Accessible",94133,373 Columbus avenue North Beach
3,Eight Am," American,Cafe,Vegetarian Friendly,Gluten Free Options",4152924888," Takeout, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible",94133,1323 Columbus avenue
4,The Italian Homemade Company, Italian,4157128874," Takeout, Outdoor Seating, Seating, Wheelchair Accessible",94133,716 Columbus avenue
5,Seven Hills, Italian,4157751550," Seating, Waitstaff, Street Parking, Free Off-Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations",94109,1550 Hyde Street
6,Anchor Oyster Bar & Seafood Market," American,Seafood,Soups",4155527584," Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",94114,579 Castro street
7,Restaurant Gary Danko, American,4157492060," Reservations, Private Dining, Seating, Waitstaff, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar",94109,800 N Point street
8,Sweet Maple, American,4156559169," Takeout, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi",94115,2101 Sutter street
9,Burma Superstar Restaurant," Asian,Burmese,Vegan Options,Gluten Free Options",4153872147," Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",94118,309 Clement street
10,Taylor Street Coffee Shop," American, Contemporary,Cafe",4155674031," Takeout, Seating, Waitstaff",94102,375 Taylor street
11,Hollywood Cafe," American,Cafe",4155633779," Takeout, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible",94133,530 North Point street
12,Sotto Mare Oysteria & Seafood," Italian,Seafood,Soups",," Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol",94133,552 Green street
13,Pearl's Deluxe Burgers," American,Fast Food",4154096120," Takeout, Seating, Wheelchair Accessible",94109,708 Post street
14,The Codmother Fish & Chips," Seafood,Fast Food,British",4156069349," Takeout, Outdoor Seating, Seating, Wheelchair Accessible",94133,496 Beach street between Jones and Taylor
15,Pacific Catch," Seafood,Asian,Soups,Gluten Free Options",4154401950," Takeout, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",94123,2027 Chestnut street Cross Street Fillmore
16,Home Plate," American,Cafe",4159224663," Takeout, Seating, Waitstaff, Wheelchair Accessible, Highchairs Available",94123,2274 Lombard street
17,Hog Island Oyster Company," American,Seafood,Soups",4153917117," Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar",94111,"The Ferry Building Marketplace,One Ferry Building, #11"
18,Nopa," American,Gluten Free Options",4158648643," Reservations, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Seating",94108,560 Divisidero street
