id,title,cuisine,phone,feature,zipcode,street_addr
0,don of the bimini twist," japanese,american,seafood",4154951900, free wifi,94107,soma neighborhood
1,kokkari estiatorio," mediterranean,greek",4159810983," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94111,200 jackson street
2,molinari delicatessen," italian,delicatessen",4154212337," takeout, outdoor seating, wheelchair accessible",94133,373 columbus avenue north beach
3,eight am," american,cafe,vegetarian friendly,gluten free options",4152924888," takeout, outdoor seating, seating, waitstaff, highchairs available, wheelchair accessible",94133,1323 columbus avenue
4,the italian homemade company, italian,4157128874," takeout, outdoor seating, seating, wheelchair accessible",94133,716 columbus avenue
5,seven hills, italian,4157751550," seating, waitstaff, street parking, free off-street parking, wheelchair accessible, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, reservations",94109,1550 hyde street
6,anchor oyster bar & seafood market," american,seafood,soups",4155527584," takeout, seating, waitstaff, wheelchair accessible, serves alcohol",94114,579 castro street
7,restaurant gary danko, american,4157492060," reservations, private dining, seating, waitstaff, validated parking, valet parking, wheelchair accessible, serves alcohol, full bar",94109,800 n point street
8,sweet maple, american,4156559169," takeout, seating, waitstaff, highchairs available, wheelchair accessible, serves alcohol, free wifi",94115,2101 sutter street
9,burma superstar restaurant," asian,burmese,vegan options,gluten free options",4153872147," takeout, seating, waitstaff, wheelchair accessible, serves alcohol",94118,309 clement street
10,taylor street coffee shop," american, contemporary,cafe",4155674031," takeout, seating, waitstaff",94102,375 taylor street
11,hollywood cafe," american,cafe",4155633779," takeout, outdoor seating, seating, waitstaff, highchairs available, wheelchair accessible",94133,530 north point street
12,sotto mare oysteria & seafood," italian,seafood,soups",," takeout, reservations, outdoor seating, seating, waitstaff, serves alcohol",94133,552 green street
13,pearl's deluxe burgers," american,fast food",4154096120," takeout, seating, wheelchair accessible",94109,708 post street
14,the codmother fish & chips," seafood,fast food,british",4156069349," takeout, outdoor seating, seating, wheelchair accessible",94133,496 beach street between jones and taylor
15,pacific catch," seafood,asian,soups,gluten free options",4154401950," takeout, outdoor seating, seating, waitstaff, wheelchair accessible, serves alcohol",94123,2027 chestnut street cross street fillmore
16,home plate," american,cafe",4159224663," takeout, seating, waitstaff, wheelchair accessible, highchairs available",94123,2274 lombard street
17,hog island oyster company," american,seafood,soups",4153917117," outdoor seating, seating, waitstaff, highchairs available, wheelchair accessible, serves alcohol, full bar",94111,"the ferry building marketplace,one ferry building, #11"
18,nopa," american,gluten free options",4158648643," reservations, waitstaff, wheelchair accessible, serves alcohol, full bar, seating",94108,560 divisidero street
19,il casaro pizzeria and mozzarella bar," italian,pizza",4156779455," takeout, seating, waitstaff, television, highchairs available, wheelchair accessible, serves alcohol",94133,348 columbus avenue
20,tony's pizza napoletana," italian,pizza,gluten free options",4158359888," delivery, takeout, outdoor seating, seating, waitstaff, television, wheelchair accessible, serves alcohol, full bar, accepts american express, accepts mastercard, accepts visa, accepts discover",94133,1570 stockton street
21,brenda's french soul food," american,cajun & creole",4153458100," takeout, seating, waitstaff, wheelchair accessible, serves alcohol",94102,652 polk street
