id,title,cuisine,phone,feature,zipcode,street_addr
2710,RTB Fillmore," American (Traditional),Asian Fusion,Pop-Up Restaurants",,"reservations, creditCard, applePay, bikeParking, goodForKids, waiterService, caters",94105,71 Stevenson street
2711,Chloe’s Cafe, Breakfast & Brunch,4156484116,"takeout, creditCard, bikeParking, goodForKids, outdoorSeating, waiterService",94114,1399 Church street
2712,Chez Maman West," French,Burgers",4153559067,"takeout, creditCard, outdoorSeating, waiterService, caters",94102,401 Gough street
2713,La Mediterranee," Mediterranean,Middle Eastern,Breakfast & Brunch",4154317210,"delivery, takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating, waiterService, caters",94114,288 Noe street
2714,Topsy’s Fun House," Cocktail Bars,Lounges",4157570290,"reservations, creditCard, bikeParking, goodForGroups, outdoorSeating, hasTV",94108,260 Kearny street
2715,Maven," American (New),Gastropubs,Cocktail Bars",4158297982,"takeout, creditCard, bikeParking, goodForGroups, waiterService",94117,598 Haight street
2716,Kazan," Japanese,Sushi Bars,Soup",4152822001,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService, caters",94110,2809 24th street
2717,PizzaHacker, Pizza,4159916911,"delivery, takeout, creditCard, goodForKids, goodForGroups, waiterService, caters",94110,3299 Mission street
2718,Sightglass Coffee, Coffee & Tea,4158611313,"takeout, creditCard, applePay, bikeParking",94103,270 7th street
2719,Indian Paradox," Wine Bars,Indian",4155935386,"takeout, creditCard, waiterService",94117,258 Divisadero street
2720,Nopalito," Mexican,Comfort Food,Gluten-Free",4152339966,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating, waiterService, caters",94122,1224 9th avenue
2721,Sip Wine Bar, Wine Bars,6284004065,"reservations, creditCard, goodForGroups, hasTV",94112,4704 Mission street
2722,Le Cafe du Soleil," Coffee & Tea,Sandwiches,French",4159348637,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating",94102,200 Fillmore street
2723,Wish," Lounges,Music Venues",4154969530,"reservations, creditCard, bikeParking, goodForGroups, hasTV",94103,1539 Folsom street
2724,Corridor Cafe," Coffee & Tea,Sandwiches,Breakfast & Brunch",4154004979,"takeout, creditCard, applePay, bikeParking, goodForKids, outdoorSeating, caters",94102,100 Van Ness avenue
2725,San Tung," Chinese,Korean,Asian Fusion",4152420828,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94122,1031 Irving street
2726,Smuggler’s Cove," Venues & Event Spaces,Tiki Bars,Cocktail Bars",4158691900,"creditCard, bikeParking, goodForGroups",94102,650 Gough street
2727,Trick Dog, Cocktail Bars,4154712999,"creditCard, bikeParking, goodForGroups",94110,3010 20th street
2728,24th Street Bar, Cocktail Bars,4152822440,"creditCard, bikeParking, goodForGroups, hasTV",94110,3336 24th street
2729,DOSA on Valencia, Indian,4156423672,"reservations, delivery, takeout, creditCard, bikeParking, goodForGroups, waiterService, caters",94110,995 Valencia street
2730,Domo," Sushi Bars,Japanese",4158618887,"takeout, creditCard, bikeParking, outdoorSeating, waiterService",94102,511 Laguna street
2731,Red Hill Station, Seafood,4157570480,"reservations, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94110,803 Cortland avenue
2732,The Residence, Lounges,4157978866,"bikeParking, goodForGroups, hasTV",94114,718 14th street
2733,BEL," Belgian,Bars,Modern European",4152061000,"reservations, takeout, creditCard, bikeParking, goodForGroups, waiterService",94110,3215 Mission street
2734,Taylor Street Coffee Shop," Breakfast & Brunch,Burgers,Sandwiches",4155674031,"takeout, creditCard, bikeParking, goodForKids, waiterService",94102,375 Taylor street
2735,Manora’s Thai Cuisine," Thai,Cocktail Bars",4158616224,"reservations, delivery, takeout, creditCard, bikeParking, goodForKids, goodForGroups, waiterService",94103,1600 Folsom street
2736,Delessio Market &amp; Bakery," Bakeries,Delis,Caterers",4155525559,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating",94103,1695 Market street
2737,Repose Coffee Bar," Coffee & Tea,Bakeries,Donuts",4158749110,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94117,262 Divisadero street
2738,Okina Sushi," Sushi Bars,Japanese",4153878882,"reservations, takeout, bikeParking, waiterService",94118,776 Arguello boulevard
2739,Leopold’s," Austrian,Bars",4154742000,"creditCard, bikeParking, goodForGroups, waiterService",94109,2400 Polk street
2740,Mela Tandoori Kitchen," Indian,Pakistani,Halal",4154474041,"reservations, delivery, takeout, creditCard, goodForKids, goodForGroups, outdoorSeating, hasTV, waiterService, caters",94102,536 Golden Gate avenue
2741,Dottie’s True Blue Cafe," American (Traditional),Breakfast & Brunch,Cafes",4158852767,"takeout, creditCard, goodForKids, waiterService",94103,28 6th street
2742,Robert R Johnson Coin and Stamp Co," Hobby Shops,Gold Buyers",4154219701,bikeParking,94103,5 3rd Street
2743,Walnut Cleaners, Dry Cleaning & Laundry,4159210495,"creditCard, bikeParking",94123,2266 Chestnut street
2744,Spaghetti Ravioli Hair Salon, Hair Salons,,,94109,1204 Sutter street
2745,Magnolia Audio Video Design Center," Home Theatre Installation,Electronics",4155751022,"creditCard, bikeParking",94103,1717 Harrison street
2746,Louis Vuitton San Francisco Union Square, Leather Goods,4153916200,creditCard,94102,233 Geary street
2747,Fujiya Cosmetics NW3, Cosmetics & Beauty Supply,4155639888,creditCard,94115,1662 Post street
2748,Moncler," Women's Clothing,Men's Clothing,Accessories",6282217945,creditCard,94108,212 Stockton street
2749,BSC Culinary Resource, Appliances,4156266246,"creditCard, bikeParking",94103,1665 Mission street
