id,title,cuisine,phone,feature,zipcode,street_addr
0,The Temporarium Coffee &amp; Tea, Coffee & Tea,4155470616,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94111,3414 22nd street
1,Little Heaven Deli," Creperies,Delis,Bubble Tea",4158241293,"delivery, takeout, creditCard, bikeParking, goodForKids, waiterService",94110,2348 Mission street
2,Zo11 Coffee," Coffee & Tea,Sandwiches,Coffee Roasteries",4158729880,"takeout, creditCard, applePay, bikeParking",94115,1035 Fillmore street
3,Golden Bear Trading Company," Grocery,Coffee & Tea",4156645574,"takeout, creditCard, bikeParking, outdoorSeating, caters",94122,1401 6th avenue
4,Philz Coffee, Coffee & Tea,4158759656,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94114,549 Castro street
5,El Gallo Giro Taco Truck," Mexican,Food Trucks",4152401224,"takeout, bikeParking, goodForKids, goodForGroups, outdoorSeating",94110,23rd street &amp; Treat avenue
6,Five Star Truffles Co.," Coffee & Tea,Chocolatiers & Shops",4155525128,"takeout, creditCard, applePay, bikeParking",94114,4251 A 18th street
7,Castro Coffee Company, Coffee & Tea,4155526676,"takeout, creditCard, bikeParking",94114,427 Castro street
8,Wildcraft Espresso Bar, Coffee & Tea,4154005036,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94114,2299 Market street
9,Cheese Boutique," Cheese Shops,Sandwiches,Delis",4153333390,"takeout, creditCard, bikeParking, goodForKids",94131,660 Chenery street
10,Thorough Bread &amp; Pastry," Bakeries,Sandwiches",4155580690,"takeout, creditCard, bikeParking, goodForKids, goodForGroups, outdoorSeating, caters",94114,248 Church street
11,Arizmendi Bakery," Bakeries,Pizza",4155663117,"takeout, creditCard, bikeParking, goodForKids, outdoorSeating",94122,1331 9th avenue
12,Papa November, Coffee & Tea,,takeout,94103,15th &amp; Kansas SE Corner
13,The Sandwich Place, Sandwiches,4154313811,"takeout, creditCard, bikeParking, goodForKids, outdoorSeating, caters",94110,2029 Mission street
14,Philz Coffee, Coffee & Tea,4158171510,"takeout, creditCard, applePay, bikeParking",94114,4298 24th street
15,Samiramis Imports," Grocery,Middle Eastern",4158246555,"reservations, creditCard",94110,2990 Mission street
16,Cup Coffee Bar," Coffee & Tea,Sandwiches",9257052521,"takeout, creditCard, applePay, bikeParking, goodForKids, outdoorSeating",94131,6 Monterey boulevard
17,Philz Coffee, Coffee & Tea,4152927660,"takeout, creditCard, applePay, bikeParking",94102,748 Van Ness avenue
18,Rosamunde Sausage Grill, German,4154376851,"delivery, takeout, bikeParking, goodForKids, caters",94117,545 Haight street
19,Faye’s Video &amp; Espresso Bar," Videos & Video Game Rental,Coffee & Tea",4155220434,"takeout, creditCard, bikeParking, outdoorSeating",94110,3614 18th street
20,Basa Seafood Express," Seafood,Sandwiches,Burgers",4155502388,"delivery, takeout, creditCard, bikeParking, goodForKids, caters",94110,3064 24th street
21,Spike’s Coffees &amp; Teas, Coffee & Tea,4156265573,"takeout, creditCard, applePay, bikeParking, outdoorSeating",94114,4117 19th street
