id,title,cuisine,phone,feature,zipcode,street_addr
0,the temporarium coffee &amp; tea, coffee & tea,4155470616,"takeout, creditcard, applepay, bikeparking, outdoorseating",94111,3414 22nd street
1,little heaven deli," creperies,delis,bubble tea",4158241293,"delivery, takeout, creditcard, bikeparking, goodforkids, waiterservice",94110,2348 mission street
2,zo11 coffee," coffee & tea,sandwiches,coffee roasteries",4158729880,"takeout, creditcard, applepay, bikeparking",94115,1035 fillmore street
3,golden bear trading company," grocery,coffee & tea",4156645574,"takeout, creditcard, bikeparking, outdoorseating, caters",94122,1401 6th avenue
4,philz coffee, coffee & tea,4158759656,"takeout, creditcard, applepay, bikeparking, outdoorseating",94114,549 castro street
5,el gallo giro taco truck," mexican,food trucks",4152401224,"takeout, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,23rd street &amp; treat avenue
6,five star truffles co.," coffee & tea,chocolatiers & shops",4155525128,"takeout, creditcard, applepay, bikeparking",94114,4251 a 18th street
7,castro coffee company, coffee & tea,4155526676,"takeout, creditcard, bikeparking",94114,427 castro street
8,wildcraft espresso bar, coffee & tea,4154005036,"takeout, creditcard, applepay, bikeparking, outdoorseating",94114,2299 market street
9,cheese boutique," cheese shops,sandwiches,delis",4153333390,"takeout, creditcard, bikeparking, goodforkids",94131,660 chenery street
10,thorough bread &amp; pastry," bakeries,sandwiches",4155580690,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, caters",94114,248 church street
11,arizmendi bakery," bakeries,pizza",4155663117,"takeout, creditcard, bikeparking, goodforkids, outdoorseating",94122,1331 9th avenue
12,papa november, coffee & tea,,takeout,94103,15th &amp; kansas se corner
13,the sandwich place, sandwiches,4154313811,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, caters",94110,2029 mission street
14,philz coffee, coffee & tea,4158171510,"takeout, creditcard, applepay, bikeparking",94114,4298 24th street
15,samiramis imports," grocery,middle eastern",4158246555,"reservations, creditcard",94110,2990 mission street
16,cup coffee bar," coffee & tea,sandwiches",9257052521,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating",94131,6 monterey boulevard
17,philz coffee, coffee & tea,4152927660,"takeout, creditcard, applepay, bikeparking",94102,748 van ness avenue
18,rosamunde sausage grill, german,4154376851,"delivery, takeout, bikeparking, goodforkids, caters",94117,545 haight street
19,faye’s video &amp; espresso bar," videos & video game rental,coffee & tea",4155220434,"takeout, creditcard, bikeparking, outdoorseating",94110,3614 18th street
20,basa seafood express," seafood,sandwiches,burgers",4155502388,"delivery, takeout, creditcard, bikeparking, goodforkids, caters",94110,3064 24th street
21,spike’s coffees &amp; teas, coffee & tea,4156265573,"takeout, creditcard, applepay, bikeparking, outdoorseating",94114,4117 19th street
22,teds market," delis,sandwiches,caterers",4155520309,"takeout, creditcard, bikeparking, goodforkids",94103,1530 howard street
23,parkside market," grocery,delis,beer, wine & spirits",4158853483,"takeout, creditcard, bikeparking",94117,1600 hayes street
24,r image market," convenience stores,sandwiches",4156485400,"takeout, creditcard, bikeparking",94110,2898 folsom street
