_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold,true_gold,ltable_title,rtable_title,ltable_street_addr,rtable_street_addr,Add_match,street_match,phone_match,Zip_match,redudant
1,1,1267,kokkari estiatorio," mediterranean,greek",4159810983," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94111,200 jackson street,kokkari estiatorio," greek,mediterranean",4159810983,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94111,200 jackson street,1,1,kokkari estiatorio,kokkari estiatorio,200 jackson street,200 jackson street,TRUE,TRUE,TRUE,TRUE,False
2,10,1105,taylor street coffee shop," american, contemporary,cafe",4155674031," takeout, seating, waitstaff",94102,375 taylor street,taylor street coffee shop," breakfast & brunch,burgers,sandwiches",4155674031,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94102,375 taylor street,1,1,taylor street coffee shop,taylor street coffee shop,375 taylor street,375 taylor street,TRUE,TRUE,TRUE,TRUE,False
5,100,2259,quince,na,4157758500," waitstaff, parking available, valet parking, wheelchair accessible, serves alcohol, full bar, accepts american express, accepts mastercard, accepts visa, accepts discover, reservations, private dining, seating",94133,470 pacific avenue,quince," french,italian",4157758500,"reservations, creditcard, goodforgroups, waiterservice",94133,470 pacific avenue,1,1,quince,quince,470 pacific avenue,470 pacific avenue,TRUE,TRUE,TRUE,TRUE,False
6,1000,1308,piqueos," peruvian,latin,spanish",4152828812," reservations, seating, waitstaff, serves alcohol",94110,830 cortland,piqueoâ€°Ã›Â¡ÃŒÃùÃ¥Â»s," latin american,peruvian",4152828812,"reservations, takeout, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94110,830 cortland avenue,1,1,piqueos,piqueoâ€°Ã›Â¡ÃŒÃùÃ¥Â»s,830 cortland,830 cortland avenue,FALSE,FALSE,TRUE,TRUE,False
11,1005,293,angel cafe, cafe,415863," outdoor seating, seating, takeout",3633,700 geary street,angel cafe &amp; deli," coffee & tea,sandwiches",4159313467,"reservations, takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, hastv, caters",94109,700 geary street,1,1,angel cafe,angel cafe &amp; deli,700 geary street,700 geary street,TRUE,FALSE,FALSE,FALSE,False
13,1007,968,tara indian cuisine, indian,4158616655," takeout, seating, waitstaff",94114,2217 market street,tara indian cuisine, indian,4158616655,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94114,2217 market street,1,1,tara indian cuisine,tara indian cuisine,2217 market street,2217 market street,TRUE,TRUE,TRUE,TRUE,False
17,1011,1199,marnee thai - ninth," asian,thai",4157319999," takeout, seating, waitstaff, reservations, serves alcohol",94122,1243 9th avenue,marnee thai, thai,4157319999,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94122,1243 9th avenue,1,1,marnee thai - ninth,marnee thai,1243 9th avenue,1243 9th avenue,TRUE,FALSE,TRUE,TRUE,False
18,1012,589,cafe isabella," cafe,mexican",369843, seating,94133,1414 taylor street,cafe isabella," coffee & tea,breakfast & brunch,sandwiches",4153783241,"takeout, creditcard, goodforkids, outdoorseating",94133,1414 taylor street,1,1,cafe isabella,cafe isabella,1414 taylor street,1414 taylor street,TRUE,TRUE,FALSE,TRUE,False
19,1013,1019,martuni's bar," international,pub",4152410205," seating, serves alcohol, waitstaff, wheelchair accessible",3757,"4 valencia street,at corner of market street",martuniâ€°Ã›Â¡ÃŒÃùÃ¥Â»s," lounges,karaoke",4152410205,"creditcard, goodforgroups",94103,4 valencia street,1,1,martuni's bar,martuniâ€°Ã›Â¡ÃŒÃùÃ¥Â»s,"4 valencia street,at corner of market street",4 valencia street,FALSE,FALSE,TRUE,FALSE,False
27,1018,1033,udupi palace," indian,gluten free options",4154478400," delivery, takeout, seating, waitstaff, wheelchair accessible",4951,1007 valencia street,udupi palace," indian,vegetarian",4159708000,"reservations, delivery, takeout, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94110,1007 valencia street,1,1,udupi palace,udupi palace,1007 valencia street,1007 valencia street,TRUE,TRUE,FALSE,FALSE,False
