id,title,popularity,rating,price,cuisine,phone,food_rating,service_rating,value_rating,atmosphere_rating,price_range,feature,mon,tue,wed,thu,fri,sat,sun,address,description
1,Kokkari Estiatorio,"#2 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"Mediterranean,Greek",+1 415-981-0983,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$25 -$80,"Reservations, Private Dining, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 10:00 pm,"200 Jackson Street,San Francisco, CA 94111-1806","Address:200 Jackson Street,San Francisco, CA 94111-1806(Front St.)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-981-0983trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
10,Taylor Street Coffee Shop,"#11 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,,"American, Contemporary,Cafe",+1 415-567-4031,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,,"Takeout, Seating, Waitstaff",7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,"375 Taylor St,San Francisco, CA 94102-2004","Address:375 Taylor St,San Francisco, CA 94102-2004Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-567-4031trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
100,Quince,"#101 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,,+1 415-775-8500,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$220 -$300,"Waitstaff, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Reservations, Private Dining, Seating",5:30 pm - 9:00 pm,5:30 pm - 9:00 pm,5:30 pm - 9:00 pm,5:30 pm - 9:00 pm,5:00 pm - 9:00 pm,5:00 pm - 9:00 pm,,"470 Pacific Ave,San Francisco, CA 94133-4610","Address:470 Pacific Ave,San Francisco, CA 94133-4610(Montgomery)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-775-8500trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1000,Piqueos,"#1,001 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Peruvian,Latin,Spanish",+1 415-282-8812,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$15 -$40,"Reservations, Seating, Waitstaff, Serves Alcohol",5:30 pm - 9:30 pm,5:30 pm - 9:30 pm,5:30 pm - 9:30 pm,5:30 pm - 9:30 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 9:30 pm,"830 Cortland,San Francisco, CA 94110","Address:830 Cortland,San Francisco, CA 94110(Gates Street)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-282-8812trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1005,Angel Cafe,"#1,006 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,Cafe,,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,3 of 5 bubbles,$5 -$10,"Outdoor Seating, Seating, Takeout",7:00 am - 9:00 pm,7:00 am - 9:00 pm,7:00 am - 9:00 pm,7:00 am - 9:00 pm,7:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 9:00 pm,"700 Geary St.,San Francisco, CA","Address:700 Geary St.,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscotrkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1007,Tara Indian Cuisine,"#1,008 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,Indian,+1 415-861-6655,3.5 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles,$24 -$25,"Takeout, Seating, Waitstaff",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"2217 Market St,San Francisco, CA 94114-1612","Address:2217 Market St,San Francisco, CA 94114-1612Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;The CastroNeighborhood: The CastroPhone Number:+1 415-861-6655trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1011,Marnee Thai - Ninth,"#1,012 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Asian,Thai",+1 415-731-9999,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,,"Takeout, Seating, Waitstaff, Reservations, Serves Alcohol",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"1243 9th Avenue,San Francisco, CA 94122","Address:1243 9th Avenue,San Francisco, CA 94122Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SunsetNeighborhood: SunsetPhone Number:+1 415-731-9999trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1012,Cafe Isabella,"#1,013 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Cafe,Mexican",,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,Seating,,7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:30 pm,8:00 am - 3:00 pm,8:30 am - 3:00 pm,"1414 Taylor St,San Francisco, CA 94133-4707","Address:1414 Taylor St,San Francisco, CA 94133-4707Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Nob HillNeighborhood: Nob HilltrkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1013,Martuni's Bar,"#1,014 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"International,Pub",+1 415-241-0205,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,,"Seating, Serves Alcohol, Waitstaff, Wheelchair Accessible",4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,4:00 pm - 2:00 am,"4 Valencia Street,at corner of Market Street,San Francisco, CA","Address:4 Valencia Street,at corner of Market Street,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-241-0205trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1018,Udupi Palace,"#1,019 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Indian,Gluten Free Options",+1 415-447-8400,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,,"Delivery, Takeout, Seating, Waitstaff, Wheelchair Accessible",12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"1007 Valencia Street San Francisco, CA,San Francisco, CA","Address:1007 Valencia Street San Francisco, CA,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-447-8400trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
