id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,takeout,creditCard,applePay,parking,bikeParking,outdoorSeating,wifi,caters,reservations,delivery,goodFor,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,hasTV,waiterService,driveThrough
1267,Kokkari Estiatorio,http://www.yelp.com/ /biz/kokkari-estiatorio-san-francisco,"Greek,Mediterranean",$31-60,4.5 star rating,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-10:00 pm,"200 Jackson StSan Francisco, CA 94111",(415) 981-0983,No,Yes,No,Street,Yes,No,No,No,Yes,No,Dinner,No,Yes,Dressy,Classy,Average,Full Bar,No,Yes,
1105,Taylor Street Coffee Shop,https://www.yelp.com/ /biz/taylor-street-coffee-shop-san-francisco,"Breakfast & Brunch,Burgers,Sandwiches",$11-30,4.0 star rating,7:00 am-2:00 pm,7:00 am-2:00 pm,7:00 am-2:00 pm,7:00 am-2:00 pm,7:00 am-2:00 pm,7:00 am-2:00 pm,7:00 am-2:00 pm,"375 Taylor StSan Francisco, CA 94102",(415) 567-4031,Yes,Yes,No,Street,Yes,No,No,No,No,No,"Breakfast, Brunch",Yes,No,Casual,Casual,Average,No,No,Yes,No
2259,Quince,https://www.yelp.com/ /biz/quince-san-francisco,"French,Italian",Above $61,4.0 star rating,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,Closed,"470 Pacific AveSan Francisco, CA 94133",(415) 775-8500,No,Yes,No,"Valet, Street",No,No,No,No,Yes,No,Dinner,No,Yes,Dressy,"Classy, Upscale",Quiet,Full Bar,No,Yes,
1308,Piqueo’s,http://www.yelp.com/ /biz/piqueos-san-francisco,"Latin American,Peruvian",$31-60,4.0 star rating,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:00 pm,"830 Cortland AveSan Francisco, CA 94110",(415) 282-8812,Yes,Yes,No,Street,Yes,Yes,Free,No,Yes,No,Dinner,No,Yes,Casual,Intimate,Average,Beer & Wine Only,No,Yes,
293,Angel Cafe &amp; Deli,https://www.yelp.com/ /biz/angel-cafe-and-deli-san-francisco,"Coffee & Tea,Sandwiches",Under $10,4.0 star rating,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,8:00 am-5:00 pm,8:00 am-3:00 pm,"700 Geary StSan Francisco, CA 94109",(415) 931-3467,Yes,Yes,Yes,Street,Yes,Yes,Free,Yes,Yes,No,"Breakfast, Lunch",Yes,No,Casual,Casual,Quiet,No,Yes,No,
968,Tara Indian Cuisine,https://www.yelp.com/ /biz/tara-indian-cuisine-san-francisco,Indian,$11-30,4.5 star rating,10:30 am-10:00 pm,10:30 am-10:30 pm,11:30 am-10:30 pm,10:30 am-10:30 pm,10:30 am-10:30 pm,10:30 am-10:30 pm,10:30 am-10:30 pm,"2217 Market StSan Francisco, CA 94114",(415) 861-6655,Yes,Yes,No,Street,Yes,No,No,No,Yes,Yes,Dinner,Yes,Yes,Casual,Intimate,Quiet,Beer & Wine Only,Yes,Yes,
1199,Marnee Thai,https://www.yelp.com/ /biz/marnee-thai-san-francisco-2,Thai,$11-30,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,"1243 9th AveSan Francisco, CA 94122",(415) 731-9999,Yes,Yes,No,Street,Yes,No,No,Yes,Yes,Yes,Dinner,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Yes,
589,Cafe Isabella,https://www.yelp.com/ /biz/cafe-isabella-san-francisco,"Coffee & Tea,Breakfast & Brunch,Sandwiches",Under $10,4.0 star rating,Closed,7:30 am-3:00 pm,7:30 am-3:00 pm,7:30 am-3:00 pm,7:30 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,"1414 Taylor StSan Francisco, CA 94133",(415) 378-3241,Yes,Yes,No,Street,No,Yes,No,No,No,No,"Breakfast, Brunch",Yes,No,Casual,Casual,Quiet,No,No,No,
1019,Martuni’s,https://www.yelp.com/ /biz/martunis-san-francisco,"Lounges,Karaoke",Moderate,4.0 star rating,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,"4 Valencia StSan Francisco, CA 94103",(415) 241-0205,,Yes,No,Street,No,No,,,No,,,,Yes,,Intimate,Average,Full Bar,No,,
1033,Udupi Palace,https://www.yelp.com/ /biz/udupi-palace-san-francisco,"Indian,Vegetarian",$11-30,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:30 pm,11:30 am-10:30 pm,11:30 am-10:00 pm,"1007 Valencia StSan Francisco, CA 94110",(415) 970-8000,Yes,No,No,Street,Yes,No,No,Yes,Yes,Yes,Dinner,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Yes,
