title,phone,tags,price,yelp_rating,food_rating,service_rating,value_rating,atmosphere_rating,feature,street_address,zipcode,zipcode_extension,monday,tuesday,wednesday,thursday,friday,saturday,sunday,webpage
Kokkari Estiatorio,(415) 981-0983,"Mediterranean, Greek",$25-$80,4.5,4.5/5,4.5/5,4.5/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Bikeparking, Private Dining, Reservations, Wheelchair Accessible, Valet Parking, Takeout, Noiselevel, Seating, Full Bar",200 Jackson Street,94111,1806,"11:30 AM-2:30 PM, 5:30 PM-10:00 PM","11:30 AM-2:30 PM, 5:30 PM-10:00 PM","11:30 AM-2:30 PM, 5:30 PM-10:00 PM","11:30 AM-2:30 PM, 5:30 PM-10:00 PM","11:30 AM-2:30 PM, 5:30 PM-11:00 PM",5:00 PM-11:00 PM,5:00 PM-10:00 PM,http://www.yelp.com/biz/kokkari-estiatorio-san-francisco
Taylor Street Coffee Shop,(415) 567-4031,"American, Contemporary, Cafe, Breakfast & Brunch, Burgers, Sandwiches",$11-$30,4.0,4.5/5,4.5/5,4/5,4.5/5,"Waitstaff, Delivery, Wifi, Ambience, Bikeparking, Takeout, Seating",375 Taylor street,94102,2004,7:00 AM-2:00 PM,7:00 AM-2:00 PM,7:00 AM-2:00 PM,7:00 AM-2:00 PM,7:00 AM-2:00 PM,7:00 AM-2:00 PM,7:00 AM-2:00 PM,https://www.yelp.com/biz/taylor-street-coffee-shop-san-francisco
Quince,(415) 775-8500,"French, Italian",$61-$300,4.0,4.5/5,4.5/5,4.5/5,4/5,"Accepts Visa, Serves Alcohol, Waitstaff, Hastv, Accepts Discover, Accepts Mastercard, Ambience, Private Dining, Parking Available, Wheelchair Accessible, Accepts American Express, Valet Parking, Reservations, Takeout, Noiselevel, Seating, Full Bar",470 Pacific avenue,94133,4610,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,,https://www.yelp.com/biz/quince-san-francisco
Piqueos,(415) 282-8812,"Peruvian, Latin, Spanish, Latin American",$15-$60,4.0,4.5/5,4.5/5,4/5,4/5,"Serves Alcohol, Waitstaff, Delivery, Goodforkids, Hastv, Ambience, Bikeparking, Reservations, Takeout, Noiselevel, Seating",830 Cortland avenue,94110,,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-9:00 PM,5:30 PM-10:00 PM,5:30 PM-10:00 PM,5:30 PM-9:00 PM,http://www.yelp.com/biz/piqueos-san-francisco
Angel Cafe,,"Cafe, Coffee & Tea, Sandwiches",$5-$10,4.0,4.5/5,4.5/5,3/5,4.5/5,"Delivery, Goodforkids, Wifi, Creditcard, Bikeparking, Takeout, Attire, Outdoor Seating, Noiselevel, Parking, Seating",700 Geary street,94109,,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-10:00 PM,8:00 AM-10:00 PM,8:00 AM-3:00 PM,https://www.yelp.com/biz/angel-cafe-and-deli-san-francisco
Tara Indian Cuisine,(415) 861-6655,Indian,$11-$30,4.5,3.5/5,3.5/5,3.5/5,3.5/5,"Alcohol, Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout, Noiselevel, Parking, Seating",2217 Market street,94114,1612,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,https://www.yelp.com/biz/tara-indian-cuisine-san-francisco
Marnee Thai - Ninth,(415) 731-9999,"Asian, Thai",$11-$30,4.0,4/5,4/5,3.5/5,4/5,"Serves Alcohol, Waitstaff, Delivery, Alcohol, Hastv, Wifi, Ambience, Bikeparking, Reservations, Takeout, Attire, Noiselevel, Seating",1243 9th Avenue,94122,,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,11:30 AM-10:00 PM,https://www.yelp.com/biz/marnee-thai-san-francisco-2
Cafe Isabella,,"Cafe, Mexican, Coffee & Tea, Breakfast & Brunch, Sandwiches",$10-$10,4.0,4.5/5,4/5,4/5,4/5,"Goodforkids, Delivery, Wifi, Takeout, Seating",1414 Taylor street,94133,4707,,7:30 AM-2:30 PM,7:30 AM-2:30 PM,7:30 AM-2:30 PM,7:30 AM-2:30 PM,8:00 AM-3:00 PM,8:30 AM-3:00 PM,https://www.yelp.com/biz/cafe-isabella-san-francisco
Martuni's Bar,(415) 241-0205,"International, Pub, Lounges, Karaoke",Moderate,4.0,4.5/5,4/5,4.5/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Wheelchair Accessible, Takeout, Seating","4 Valencia Street,at corner of Market Street",,,4:00 PM-2:00 AM,4:00 PM-2:00 AM,4:00 PM-2:00 AM,4:00 PM-2:00 AM,4:00 PM-2:00 AM,4:00 PM-2:00 AM,4:00 PM-2:00 AM,https://www.yelp.com/biz/martunis-san-francisco
Udupi Palace,(415) 447-8400,"Indian, Gluten Free Options, Vegetarian",$11-$30,4.0,4.5/5,4.5/5,3.5/5,4.5/5,"Alcohol, Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Wheelchair Accessible, Takeout, Attire, Noiselevel, Seating",1007 Valencia Street,,,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,https://www.yelp.com/biz/udupi-palace-san-francisco
