id,title,popularity,rating,price,cuisine,phone,food_rating,service_rating,value_rating,atmosphere_rating,price_range,feature,mon,tue,wed,thu,fri,sat,sun,address,description
0,Don of The Bimini Twist,"#1 of 4,344 Restaurants in San Francisco",5 of 5 bubbles,$$ - $$$,"Japanese,American,Seafood",14154951900,5 of 5 bubbles,5 of 5 bubbles,5 of 5 bubbles,5 of 5 bubbles,$20 -$100,Free Wifi,6:00 pm - 11:30 pm,6:00 pm - 11:30 pm,6:00 pm - 11:30 pm,6:00 pm - 11:30 pm,6:00 pm - 11:30 pm,6:00 pm - 11:30 pm,6:00 pm - 11:30 pm,"SOMA Neighborhood,San Francisco, CA 94107","Address:SOMA Neighborhood,San Francisco, CA 94107Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:14154951900trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
1,Kokkari Estiatorio,"#2 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"Mediterranean,Greek",+1 415-981-0983,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$25 -$80,"Reservations, Private Dining, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 10:00 pm,"200 Jackson Street,San Francisco, CA 94111-1806","Address:200 Jackson Street,San Francisco, CA 94111-1806(Front St.)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-981-0983trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
2,Molinari Delicatessen,"#3 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Italian,Delicatessen",+1 415-421-2337,5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,$20,"Takeout, Outdoor Seating, Wheelchair Accessible",9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 5:00 pm,,"373 Columbus Ave,North Beach,San Francisco, CA 94133-3907","Address:373 Columbus Ave,North Beach,San Francisco, CA 94133-3907Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;ChinatownNeighborhood: ChinatownPhone Number:+1 415-421-2337trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
3,Eight Am,"#4 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Cafe,Vegetarian Friendly,Gluten Free Options",+1 415-292-4888,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,,,"Takeout, Outdoor Seating, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible",7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,7:00 am - 2:00 pm,"1323 Columbus Ave,San Francisco, CA 94133-1330","Address:1323 Columbus Ave,San Francisco, CA 94133-1330Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-292-4888trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
4,The Italian Homemade Company,"#5 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,Italian,+1 415-712-8874,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible",,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,"716 Columbus Ave,San Francisco, CA 94133-2731","Address:716 Columbus Ave,San Francisco, CA 94133-2731Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;North Beach / Telegraph HillNeighborhood: North Beach / Telegraph HillPhone Number:+1 415-712-8874trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
5,Seven Hills,"#6 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,Italian,+1 415-775-1550,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,$20 -$60,"Seating, Waitstaff, Street Parking, Free Off-Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations",,,5:30 pm - 9:30 pm,5:30 pm - 9:30 pm,5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,5:00 pm - 9:30 pm,"1550 Hyde Street,San Francisco, CA 94109","Address:1550 Hyde Street,San Francisco, CA 94109(Pacific)Public Transportation:On the Hyde street cable car stop at Pacific.Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Nob HillNeighborhood: Nob HillPhone Number:+1 415-775-1550trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
6,Anchor Oyster Bar & Seafood Market,"#7 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Seafood,Soups",+1 415-552-7584,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$21 -$30,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,4:30 pm - 9:30 pm,"579 Castro St,San Francisco, CA 94114-2511","Address:579 Castro St,San Francisco, CA 94114-2511Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;The CastroNeighborhood: The CastroPhone Number:+1 415-552-7584trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
7,Restaurant Gary Danko,"#8 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,American,+1 415-749-2060,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$70 -$100,"Reservations, Private Dining, Seating, Waitstaff, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,"800 N Point St,San Francisco, CA 94109-1228","Address:800 N Point St,San Francisco, CA 94109-1228Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-749-2060trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
8,Sweet Maple,"#9 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,American,+1 415-655-9169,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,,"Takeout, Seating, Waitstaff, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi",8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,"2101 Sutter St,San Francisco, CA 94115-3119","Address:2101 Sutter St,San Francisco, CA 94115-3119Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Pacific HeightsNeighborhood: Pacific HeightsPhone Number:+1 415-655-9169trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
9,Burma Superstar Restaurant,"#10 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Asian,Burmese,Vegan Options,Gluten Free Options",+1 415-387-2147,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,$21 -$30,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",11:30 am - 3:30 pm,11:30 am - 3:30 pm,11:30 am - 3:30 pm,11:30 am - 3:30 pm,11:30 am - 3:30 pm,11:30 am - 3:30 pm,11:30 am - 3:30 pm,"309 Clement St,San Francisco, CA 94118-2315","Address:309 Clement St,San Francisco, CA 94118-2315Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;The RichmondNeighborhood: The RichmondPhone Number:+1 415-387-2147trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
