id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
910,Shizen Vegan Sushi Bar &amp; Izakaya,https://www.yelp.com/ /biz/shizen-vegan-sushi-bar-and-izakaya-san-francisco,"Sushi Bars,Vegan,Izakaya",$11-30,4.5 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:00 pm,"370 14th StSan Francisco, CA 94103",(415) 678-5767,No,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No,
911,Cuisine of Nepal,https://www.yelp.com/ /biz/cuisine-of-nepal-san-francisco,Himalayan/Nepalese,$11-30,5.0 star rating,Closed,11:00 am-2:30 pm4:30 pm-10:30 pm,11:00 am-2:30 pm4:30 pm-10:30 pm,11:00 am-2:30 pm4:30 pm-10:30 pm,11:00 am-2:30 pm4:30 pm-10:30 pm,11:00 am-2:30 pm4:30 pm-10:30 pm,11:00 am-2:30 pm4:30 pm-10:30 pm,"3486 Mission StSan Francisco, CA 94110",(415) 647-2222,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
912,Raxakoul Wine &amp; Cheese,https://www.yelp.com/ /biz/raxakoul-wine-and-cheese-san-francisco,"Cheese Shops,Wine Bars,Sandwiches",$11-30,5.0 star rating,Closed,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,Closed,"141 Gough StSan Francisco, CA 94102",(415) 874-9133,No,No,Yes,Yes,No,,Street,No,Yes,Yes,Casual,,Quiet,Beer & Wine Only,Yes,,Yes,,,
913,Chicks and Love Pizza Patio,https://www.yelp.com/ /biz/chicks-and-love-pizza-patio-san-francisco-5,"Pizza,Breakfast & Brunch,Coffee & Tea",$11-30,5.0 star rating,9:00 am-3:00 pm,9:00 am-3:00 pm,9:00 am-3:00 pm,9:00 am-3:00 pm,9:00 am-2:30 pm,Closed,Closed,"1701 Folsom StSan Francisco, CA 94103",(415) 912-6648,Yes,Yes,Yes,Yes,Yes,"Breakfast, Brunch, Lunch","Garage, Street",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,No,Yes,
914,Tadu Ethiopian Kitchen,https://www.yelp.com/ /biz/tadu-ethiopian-kitchen-san-francisco-3,Ethiopian,$11-30,4.5 star rating,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,11:30 am-9:00 pm,"484 Ellis StSan Francisco, CA 94102",(415) 409-6649,No,No,Yes,Yes,No,"Lunch, Dinner",Street,No,Yes,No,Casual,Casual,Average,No,No,No,No,Yes,Yes,
915,Blue Bottle Coffee,https://www.yelp.com/ /biz/blue-bottle-coffee-san-francisco-8,Coffee & Tea,Moderate,4.5 star rating,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,8:00 am-6:00 pm,"315 Linden StSan Francisco, CA 94102",(510) 653-3394,,,Yes,Yes,Yes,,Street,Yes,,,,,,,Yes,No,,,,
916,Limoncello,https://www.yelp.com/ /biz/limoncello-san-francisco,"Sandwiches,Delis,Beer, Wine & Spirits",$11-30,5.0 star rating,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-12:30 am,9:00 am-12:30 am,9:00 am-11:00 pm,"1400 Sutter StSan Francisco, CA 94109",(415) 638-6361,No,No,Yes,Yes,Yes,Lunch,Street,Yes,Yes,Yes,Casual,,Average,Beer & Wine Only,No,No,No,No,Yes,
917,Hooker’s Sweet Treats,https://www.yelp.com/ /biz/hookers-sweet-treats-san-francisco,"Chocolatiers & Shops,Coffee & Tea",Moderate,4.5 star rating,Closed,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,10:00 am-2:00 pm,Closed,"442 Hyde StSan Francisco, CA 94109",(415) 441-4628,,,Yes,Yes,Yes,,Street,Yes,,,,,,,No,No,,,Yes,
918,Lovejoy’s Tea Room,https://www.yelp.com/ /biz/lovejoys-tea-room-san-francisco,"British,Tea Rooms",$11-30,4.5 star rating,Closed,Closed,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,"1351 Church StSan Francisco, CA 94114",(415) 648-5895,Yes,No,No,Yes,No,"Brunch, Lunch",Street,No,Yes,Yes,Casual,,Average,No,No,No,No,Yes,Yes,
919,Bowl’D Acai,https://www.yelp.com/ /biz/bowld-acai-san-francisco-2,"Food Trucks,Juice Bars & Smoothies,Hawaiian",$11-30,4.5 star rating,8:00 am-2:30 pm,8:00 am-2:00 pm,8:00 am-2:30 pm,8:00 am-2:30 pm,8:00 am-2:30 pm,9:00 am-3:00 pm,Closed,,(415) 770-7000,No,No,Yes,Yes,Yes,"Breakfast, Brunch, Lunch",Street,Yes,Yes,Yes,Casual,"Hipster, Casual",Average,No,Yes,No,No,No,Yes,
920,Little Star Pizza,https://www.yelp.com/ /biz/little-star-pizza-san-francisco,Pizza,$11-30,4.5 star rating,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,4:00 pm-10:30 pm,3:00 pm-10:30 pm,3:00 pm-9:30 pm,"846 Divisadero StSan Francisco, CA 94117",(415) 441-1118,No,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,Yes,
921,Tartine Bakery &amp; Cafe,https://www.yelp.com/ /biz/tartine-bakery-and-cafe-san-francisco,"Bakeries,Patisserie/Cake Shop,Cafes",$11-30,4.0 star rating,8:00 am-7:00 pm,7:30 am-7:00 pm,7:30 am-7:00 pm,7:30 am-8:00 pm,7:30 am-8:00 pm,8:00 am-8:00 pm,8:00 am-8:00 pm,"600 Guerrero StSan Francisco, CA 94110",(415) 487-2600,No,No,Yes,Yes,No,Breakfast,Street,Yes,Yes,No,Casual,Casual,Loud,No,Yes,No,No,No,No,
922,Aroma Tea Shop,https://www.yelp.com/ /biz/aroma-tea-shop-san-francisco,"Coffee & Tea,Tea Rooms",Moderate,4.5 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,"302 6th AveSan Francisco, CA 94118",(415) 668-3788,,,Yes,Yes,No,,Street,Yes,,,,,,,No,No,,,,
923,Neighbor’s Corner,https://www.yelp.com/ /biz/neighbors-corner-san-francisco-2,"Coffee & Tea,Bakeries",Moderate,5.0 star rating,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-8:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,"499 Douglass StSan Francisco, CA 94114",(415) 993-0499,,No,Yes,Yes,Yes,,Street,No,,,,,,,No,Free,,,,
924,Hoffmann’s Grill &amp; Rotisserie,https://www.yelp.com/ /biz/hoffmanns-grill-and-rotisserie-san-francisco,American (New),$11-30,4.5 star rating,Closed,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-9:00 pm,"1000 Guerrero StSan Francisco, CA 94110",(415) 374-7479,Yes,No,Yes,Yes,No,Dinner,Street,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Yes,
925,ABV,https://www.yelp.com/ /biz/abv-san-francisco-2,"Cocktail Bars,American (New)",$11-30,4.5 star rating,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-2:00 am,11:00 am-2:00 am,11:00 am-2:00 am,"3174 16th StSan Francisco, CA 94103",(415) 400-4748,No,No,Yes,Yes,No,,Street,Yes,No,Yes,Casual,Hipster,Average,Full Bar,Yes,Free,No,,,
926,Hot Zushi,https://www.yelp.com/ /biz/hot-zushi-san-francisco,"Japanese,Sushi Bars",$11-30,4.5 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:00 pm,"531 Haight StSan Francisco, CA 94117",(415) 863-8638,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Yes,
927,PizzaHacker - Vinyl Pop Up,https://www.yelp.com/ /biz/pizzahacker-vinyl-pop-up-san-francisco,"Pizza,Street Vendors",$11-30,4.5 star rating,Closed,Closed,Closed,6:00 pm-9:30 pm,6:00 pm-9:30 pm,Closed,Closed,"359 Divisadero StSan Francisco, CA 94117",,No,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
928,Tuba Authentic Turkish Restaurant,https://www.yelp.com/ /biz/tuba-authentic-turkish-restaurant-san-francisco,"Mediterranean,Turkish,Middle Eastern",$11-30,4.5 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-10:00 pm,"1007 Guerrero StSan Francisco, CA 94110",(415) 826-8822,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,Yes,
929,Bread Srsly,https://www.yelp.com/ /biz/bread-srsly-san-francisco,"Bakeries,Gluten-Free",$11-30,5.0 star rating,,,,,,,,"San Francisco, CA 94103",(866) 338-3948,No,Yes,No,Yes,,"Breakfast, Brunch, Lunch",,Yes,Yes,Yes,Casual,,Average,No,No,No,No,No,Yes,
930,Paprika,https://www.yelp.com/ /biz/paprika-san-francisco,"Czech,German,Hungarian",$11-30,4.5 star rating,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,12:00 pm-11:00 pm,3:00 pm-10:00 pm,"3324 24th StSan Francisco, CA 94110",(415) 375-1477,Yes,No,Yes,No,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
931,Griddle Fresh,https://www.yelp.com/ /biz/griddle-fresh-san-francisco,"Breakfast & Brunch,Salad,American (New)",$11-30,4.0 star rating,8:00 am-2:45 pm,8:00 am-2:45 pm5:00 pm-9:30 pm,8:00 am-2:45 pm5:00 pm-9:30 pm,8:00 am-2:45 pm5:00 pm-9:30 pm,8:00 am-2:45 pm5:00 pm-9:30 pm,8:00 am-2:45 pm5:00 pm-9:30 pm,8:00 am-2:45 pm5:00 pm-9:30 pm,"4007 24th StSan Francisco, CA 94114",(415) 647-7037,No,No,Yes,Yes,No,"Breakfast, Brunch",Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,
932,No No Burger,https://www.yelp.com/ /biz/no-no-burger-san-francisco,"Burgers,Food Stands,Vegan",$11-30,4.5 star rating,Closed,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-5:00 pm,"428 11th StSan Francisco, CA 94103",(415) 710-9280,No,No,Yes,Yes,Yes,"Lunch, Dinner","Garage, Street",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,No,Yes,No
933,Crepes S’il Vous Plait,https://www.yelp.com/ /biz/crepes-sil-vous-plait-san-francisco,"Creperies,Sandwiches,Gluten-Free",$11-30,4.5 star rating,Closed,10:30 am-2:30 pm5:30 pm-8:00 pm,10:30 am-2:30 pm5:30 pm-8:00 pm,10:30 am-2:30 pm5:30 pm-8:00 pm,10:30 am-2:30 pm5:30 pm-8:00 pm,10:30 am-8:00 pm,10:30 am-2:30 pm,"2175 Market StSan Francisco, CA 94114",(415) 936-6974,Yes,No,Yes,Yes,Yes,Breakfast,,Yes,Yes,Yes,Casual,,,Full Bar,Yes,Free,Yes,Yes,Yes,
