id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters
2230,Casa Flores,https://www.yelp.com/ /biz/casa-flores-san-francisco,Italian,Above $61,5.0 star rating,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,6:00 pm-9:00 pm,Closed,"1808 California StSan Francisco, CA 94109",(408) 475-6895,Yes,No,No,No,No,Dinner,"Garage, Street",No,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,Yes,Yes
2231,Californios,https://www.yelp.com/ /biz/californios-san-francisco,"Mexican,Seafood,Salad",Above $61,4.5 star rating,Closed,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,Closed,"3115 22nd StSan Francisco, CA 94110",(415) 757-0994,Yes,No,No,Yes,Yes,Dinner,Street,No,No,No,Dressy,"Intimate, Romantic",Average,Beer & Wine Only,No,No,No,Yes,No
2232,Lazy Bear,https://www.yelp.com/ /biz/lazy-bear-san-francisco-5,American (New),Above $61,4.5 star rating,Closed,6:00 pm-11:00 pm,6:00 pm-11:00 pm,6:00 pm-11:00 pm,6:00 pm-11:00 pm,6:00 pm-11:00 pm,Closed,"3416 19th StSan Francisco, CA 94110",(415) 874-9921,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Hipster,Average,Full Bar,No,No,No,Yes,No
2233,Ijji Sushi,https://www.yelp.com/ /biz/ijji-sushi-san-francisco,"Sushi Bars,Japanese",Above $61,4.5 star rating,Closed,Closed,5:45 pm-9:00 pm,5:45 pm-9:00 pm,5:45 pm-9:00 pm,5:45 pm-9:00 pm,5:45 pm-9:00 pm,"252 Divisadero StSan Francisco, CA 94117",(415) 658-7388,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Intimate,Quiet,Beer & Wine Only,No,No,No,Yes,No
2234,Omakase,https://www.yelp.com/ /biz/omakase-san-francisco,"Sushi Bars,Japanese",Above $61,4.5 star rating,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,"665 Townsend StSan Francisco, CA 94103",(415) 865-0633,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,Trendy,Quiet,Beer & Wine Only,No,No,No,Yes,No
2235,An Japanese Restaurant,https://www.yelp.com/ /biz/an-japanese-restaurant-san-francisco-2,"Sushi Bars,Japanese",Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"22 Peace PlzSan Francisco, CA 94115",(415) 292-4886,Yes,No,No,Yes,No,Dinner,Garage,Yes,No,No,Casual,Intimate,Quiet,Beer & Wine Only,No,No,No,Yes,No
2236,jū-ni,https://www.yelp.com/ /biz/j%C5%AB-ni-san-francisco-5,"Japanese,Sushi Bars",Above $61,4.5 star rating,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,"1335 Fulton StSan Francisco, CA 94117",(415) 655-9924,Yes,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Classy,Quiet,Beer & Wine Only,No,No,No,Yes,No
2237,Acquerello,https://www.yelp.com/ /biz/acquerello-san-francisco,Italian,Above $61,4.5 star rating,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"1722 Sacramento StSan Francisco, CA 94109",(415) 567-5432,Yes,No,No,Yes,No,Dinner,"Garage, Street",No,No,No,Dressy,"Romantic, Classy, Upscale",Quiet,Beer & Wine Only,No,No,No,Yes,No
2238,KUSAKABE,https://www.yelp.com/ /biz/kusakabe-san-francisco,"Sushi Bars,Japanese",Above $61,4.5 star rating,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,5:00 pm-8:30 pm,Closed,"584 Washington StSan Francisco, CA 94111",(415) 757-0155,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Dressy,Intimate,Average,Beer & Wine Only,No,Free,No,Yes,No
2239,Wako Japanese Restaurant,https://www.yelp.com/ /biz/wako-japanese-restaurant-san-francisco,"Japanese,Sushi Bars",Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"211 Clement StSan Francisco, CA 94118",(415) 682-4875,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No
