id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,takeout,creditCard,applePay,parking,bikeParking,outdoorSeating,wifi,caters,reservations,delivery,goodFor,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,hasTV,waiterService,driveThrough
0,The Temporarium Coffee &amp; Tea,https://www.yelp.com/ /biz/the-temporarium-coffee-and-tea-san-francisco,Coffee & Tea,Inexpensive,5.0 star rating,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-3:00 pm,7:00 am-6:30 pm,8:00 am-6:30 pm,"3414 22nd StSan Francisco, CA 94111",(415) 547-0616,Yes,Yes,Yes,Street,Yes,Yes,No,No,,,,,,,,,,,,
1,Little Heaven Deli,https://www.yelp.com/ /biz/little-heaven-deli-san-francisco,"Creperies,Delis,Bubble Tea",Under $10,5.0 star rating,10:00 am-7:00 pm,Closed,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-5:00 pm,"2348 Mission StSan Francisco, CA 94110",(415) 824-1293,Yes,Yes,No,Street,Yes,No,Free,No,No,Yes,"Brunch, Lunch, Dessert",Yes,No,Casual,Casual,Average,No,No,Yes,
2,Zo11 Coffee,https://www.yelp.com/ /biz/zo11-coffee-san-francisco,"Coffee & Tea,Sandwiches,Coffee Roasteries",Under $10,5.0 star rating,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,8:00 am-5:00 pm,9:00 am-4:00 pm,"1035 Fillmore StSan Francisco, CA 94115",(415) 872-9880,Yes,Yes,Yes,Street,Yes,No,Free,No,No,No,Breakfast,No,No,Casual,Casual,Quiet,No,No,No,
3,Golden Bear Trading Company,https://www.yelp.com/ /biz/golden-bear-trading-company-san-francisco-3,"Grocery,Coffee & Tea",Inexpensive,4.5 star rating,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,"1401 6th AveSan Francisco, CA 94122",(415) 664-5574,Yes,Yes,No,Street,Yes,Yes,Free,Yes,,,,,,,,,,,,
4,Philz Coffee,https://www.yelp.com/ /biz/philz-coffee-san-francisco-2,Coffee & Tea,Inexpensive,4.5 star rating,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,"549 Castro StSan Francisco, CA 94114",(415) 875-9656,Yes,Yes,Yes,Street,Yes,Yes,Free,,,,,,,,,,,,,
5,El Gallo Giro Taco Truck,https://www.yelp.com/ /biz/el-gallo-giro-taco-truck-san-francisco-2,"Mexican,Food Trucks",Under $10,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-5:00 pm,Closed,"23rd St &amp; Treat AveSan Francisco, CA 94110",(415) 240-1224,Yes,No,No,Street,Yes,Yes,No,No,No,No,Lunch,Yes,Yes,Casual,Hipster,Average,No,No,No,
6,Five Star Truffles Co.,https://www.yelp.com/ /biz/five-star-truffles-co-san-francisco,"Coffee & Tea,Chocolatiers & Shops",Inexpensive,4.5 star rating,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,7:00 am-9:00 pm,7:00 am-8:00 pm,9:00 am-6:00 pm,"4251 A 18th StSan Francisco, CA 94114",(415) 552-5128,Yes,Yes,Yes,Street,Yes,No,Free,No,,,,,,,,,,,,
7,Castro Coffee Company,https://www.yelp.com/ /biz/castro-coffee-company-san-francisco-2,Coffee & Tea,Inexpensive,4.5 star rating,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,7:00 am-9:00 pm,8:00 am-9:00 pm,9:00 am-8:00 pm,"427 Castro StSan Francisco, CA 94114",(415) 552-6676,Yes,Yes,No,Street,Yes,No,No,No,,,,,,,,,,,,
8,Wildcraft Espresso Bar,https://www.yelp.com/ /biz/wildcraft-espresso-bar-san-francisco-2,Coffee & Tea,Inexpensive,4.5 star rating,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,7:00 am-5:00 pm,"2299 Market StSan Francisco, CA 94114",(415) 400-5036,Yes,Yes,Yes,Street,Yes,Yes,Free,,,,,,,,,,,,,
9,Cheese Boutique,https://www.yelp.com/ /biz/cheese-boutique-san-francisco-2,"Cheese Shops,Sandwiches,Delis",Under $10,5.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-6:30 pm,10:00 am-5:00 pm,"660 Chenery StSan Francisco, CA 94131",(415) 333-3390,Yes,Yes,,Street,Yes,No,No,No,No,No,Lunch,Yes,No,Casual,Casual,Quiet,No,No,No,
10,Thorough Bread &amp; Pastry,https://www.yelp.com/ /biz/thorough-bread-and-pastry-san-francisco,"Bakeries,Sandwiches",Under $10,4.5 star rating,Closed,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-7:00 pm,8:00 am-6:00 pm,"248 Church StSan Francisco, CA 94114",(415) 558-0690,Yes,Yes,No,Street,Yes,Yes,No,Yes,No,No,Breakfast,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,
11,Arizmendi Bakery,https://www.yelp.com/ /biz/arizmendi-bakery-san-francisco,"Bakeries,Pizza",Under $10,4.5 star rating,Closed,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:30 am-6:00 pm,7:30 am-6:00 pm,"1331 9th AveSan Francisco, CA 94122",(415) 566-3117,Yes,Yes,No,Street,Yes,Yes,No,No,No,No,"Breakfast, Lunch",Yes,No,Casual,Casual,Average,No,No,No,
12,Papa November,https://www.yelp.com/ /biz/papa-november-san-francisco,Coffee & Tea,Inexpensive,5.0 star rating,8:00 am-1:00 pm,8:00 am-1:00 pm,8:00 am-1:00 pm,8:00 am-1:00 pm,Closed,Closed,Closed,"15th &amp; Kansas SE CornerSan Francisco, CA 94103",,Yes,No,No,Street,No,No,No,,,,,,,,,,,,,
13,The Sandwich Place,https://www.yelp.com/ /biz/the-sandwich-place-san-francisco,Sandwiches,Under $10,4.5 star rating,6:30 am-5:00 pm,6:30 am-5:00 pm,6:30 am-5:00 pm,6:30 am-5:00 pm,6:30 am-5:00 pm,6:30 am-2:00 pm,Closed,"2029 Mission StSan Francisco, CA 94110",(415) 431-3811,Yes,Yes,No,Street,Yes,Yes,No,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
14,Philz Coffee,https://www.yelp.com/ /biz/philz-coffee-san-francisco-6,Coffee & Tea,Inexpensive,4.5 star rating,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-7:30 pm,6:00 am-7:30 pm,6:30 am-7:30 pm,6:30 am-7:30 pm,"4298 24th StSan Francisco, CA 94114",(415) 817-1510,Yes,Yes,Yes,Street,Yes,No,Free,,,,,,,,,,,,,
15,Samiramis Imports,https://www.yelp.com/ /biz/samiramis-imports-san-francisco-2,"Grocery,Middle Eastern",Under $10,4.5 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,"2990 Mission StSan Francisco, CA 94110",(415) 824-6555,No,Yes,,Street,No,No,No,No,Yes,No,,No,No,Casual,Casual,Quiet,No,No,No,
16,Cup Coffee Bar,https://www.yelp.com/ /biz/cup-coffee-bar-san-francisco-4,"Coffee & Tea,Sandwiches",Under $10,4.5 star rating,6:00 am-2:00 pm,6:00 am-2:00 pm,6:00 am-2:00 pm,6:00 am-2:00 pm,6:00 am-2:00 pm,7:00 am-2:00 pm,7:00 am-2:00 pm,"6 Monterey BlvdSan Francisco, CA 94131",(925) 705-2521,Yes,Yes,Yes,Street,Yes,Yes,Free,No,No,No,Breakfast,Yes,No,Casual,"Casual, Intimate",Quiet,No,No,No,
17,Philz Coffee,https://www.yelp.com/ /biz/philz-coffee-san-francisco-4,Coffee & Tea,Inexpensive,4.5 star rating,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-8:00 pm,6:00 am-7:30 pm,"748 Van Ness AveSan Francisco, CA 94102",(415) 292-7660,Yes,Yes,Yes,Street,Yes,No,Free,,,,,,,,,,,,,
18,Rosamunde Sausage Grill,https://www.yelp.com/ /biz/rosamunde-sausage-grill-san-francisco,German,Under $10,4.5 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-10:00 pm,"545 Haight StSan Francisco, CA 94117",(415) 437-6851,Yes,No,No,Street,Yes,No,No,Yes,No,Yes,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
19,Faye’s Video &amp; Espresso Bar,https://www.yelp.com/ /biz/fayes-video-and-espresso-bar-san-francisco,"Videos & Video Game Rental,Coffee & Tea",Inexpensive,4.5 star rating,7:00 am-8:30 pm,7:00 am-8:30 pm,7:00 am-8:30 pm,7:00 am-8:30 pm,7:00 am-9:30 pm,7:00 am-9:30 pm,7:00 am-8:30 pm,"3614 18th StSan Francisco, CA 94110",(415) 522-0434,Yes,Yes,No,Street,Yes,Yes,No,,,,,,,,,,,,,
20,Basa Seafood Express,https://www.yelp.com/ /biz/basa-seafood-express-san-francisco,"Seafood,Sandwiches,Burgers",Under $10,4.5 star rating,11:00 am-7:30 pm,11:00 am-7:30 pm,11:00 am-7:30 pm,11:00 am-7:30 pm,11:00 am-7:30 pm,11:00 am-7:30 pm,11:00 am-5:00 pm,"3064 24th StSan Francisco, CA 94110",(415) 550-2388,Yes,Yes,No,Street,Yes,No,No,Yes,No,Yes,Lunch,Yes,No,Casual,Casual,Quiet,No,No,No,No
21,Spike’s Coffees &amp; Teas,https://www.yelp.com/ /biz/spikes-coffees-and-teas-san-francisco,Coffee & Tea,Inexpensive,4.5 star rating,6:30 am-7:00 pm,6:30 am-7:00 pm,6:30 am-7:00 pm,6:30 am-7:00 pm,6:30 am-7:00 pm,6:30 am-7:00 pm,7:30 am-7:00 pm,"4117 19th StSan Francisco, CA 94114",(415) 626-5573,Yes,Yes,Yes,Street,Yes,Yes,No,,,,,,,,,,,,,
22,Teds Market,https://www.yelp.com/ /biz/teds-market-san-francisco-2,"Delis,Sandwiches,Caterers",Under $10,4.5 star rating,6:00 am-6:00 pm,6:00 am-6:00 pm,6:00 am-6:00 pm,6:00 am-6:00 pm,6:00 am-6:00 pm,8:00 am-5:00 pm,8:00 am-3:00 pm,"1530 Howard StSan Francisco, CA 94103",(415) 552-0309,Yes,Yes,No,Street,Yes,No,Free,,No,No,Lunch,Yes,No,Casual,Casual,Average,Full Bar,No,No,
23,Parkside Market,https://www.yelp.com/ /biz/parkside-market-san-francisco,"Grocery,Delis,Beer, Wine & Spirits",Under $10,5.0 star rating,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-11:00 pm,"1600 Hayes StSan Francisco, CA 94117",(415) 885-3483,Yes,Yes,No,Street,Yes,,,,,,,,,,,,,,,
24,R Image Market,https://www.yelp.com/ /biz/r-image-market-san-francisco-2,"Convenience Stores,Sandwiches",Under $10,4.5 star rating,9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,9:00 am-7:00 pm,"2898 Folsom StSan Francisco, CA 94110",(415) 648-5400,Yes,Yes,No,Street,Yes,,,,,,,,,,,,,,,
25,The Flying Falafel,https://www.yelp.com/ /biz/the-flying-falafel-san-francisco-3,"Falafel,Vegan",Under $10,4.5 star rating,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,"1051 Market StSan Francisco, CA 94103",(415) 964-1003,Yes,Yes,No,,Yes,No,Free,Yes,No,No,Lunch,Yes,No,Casual,Casual,Average,No,No,No,
26,Central Coffee Tea &amp; Spice,https://www.yelp.com/ /biz/central-coffee-tea-and-spice-san-francisco,"Coffee & Tea,Cafes,Breakfast & Brunch",Under $10,4.5 star rating,6:00 am-4:00 pm,6:00 am-4:00 pm,6:00 am-4:00 pm,6:00 am-4:00 pm,6:00 am-4:00 pm,6:00 am-4:00 pm,6:00 am-4:00 pm,"1696 Hayes StSan Francisco, CA 94117",(415) 922-2008,Yes,Yes,Yes,Street,Yes,Yes,Free,No,No,No,Breakfast,Yes,No,Casual,Casual,Average,No,No,No,
27,Irving Subs,https://www.yelp.com/ /biz/irving-subs-san-francisco-4,"Sandwiches,Juice Bars & Smoothies,Gluten-Free",Under $10,4.5 star rating,11:00 am-8:30 pm,11:00 am-8:30 pm,11:00 am-8:30 pm,11:00 am-8:30 pm,11:00 am-8:30 pm,11:00 am-8:30 pm,11:00 am-5:00 pm,"1298 12th AveSan Francisco, CA 94122",(415) 566-3155,Yes,Yes,Yes,Street,Yes,No,No,Yes,No,Yes,Lunch,Yes,Yes,Casual,Casual,Quiet,No,Yes,No,
