addr,alcohol,ambience,applePay,attire,bikeParking,categories,caters,creditCard,delivery,driveThrough,fri,goodFor,goodForGroups,goodForKids,hasTV,id,mon,noiseLevel,outdoorSeating,parking,phone,price,rating,reservations,sat,sun,takeout,thu,title,tue,waiterService,wed,wifi,yelpPage
"3414 22nd StSan Francisco, CA 94111",,,Yes,,Yes,Coffee & Tea,No,Yes,,,7:00 am-3:00 pm,,,,,0,7:00 am-3:00 pm,,Yes,Street,(415) 547-0616,Inexpensive,5.0 star rating,,7:00 am-6:30 pm,8:00 am-6:30 pm,Yes,7:00 am-3:00 pm,The Temporarium Coffee &amp; Tea,7:00 am-3:00 pm,,7:00 am-3:00 pm,No,https://www.yelp.com/ /biz/the-temporarium-coffee-and-tea-san-francisco
"2348 Mission StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,"Creperies,Delis,Bubble Tea",No,Yes,Yes,,10:00 am-7:00 pm,"Brunch, Lunch, Dessert",No,Yes,No,1,10:00 am-7:00 pm,Average,No,Street,(415) 824-1293,Under $10,5.0 star rating,No,10:00 am-7:00 pm,10:00 am-5:00 pm,Yes,10:00 am-7:00 pm,Little Heaven Deli,Closed,Yes,10:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/little-heaven-deli-san-francisco
"1035 Fillmore StSan Francisco, CA 94115",No,Casual,Yes,Casual,Yes,"Coffee & Tea,Sandwiches,Coffee Roasteries",No,Yes,No,,7:00 am-5:00 pm,Breakfast,No,No,No,2,7:00 am-5:00 pm,Quiet,No,Street,(415) 872-9880,Under $10,5.0 star rating,No,8:00 am-5:00 pm,9:00 am-4:00 pm,Yes,7:00 am-5:00 pm,Zo11 Coffee,7:00 am-5:00 pm,No,7:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/zo11-coffee-san-francisco
"1401 6th AveSan Francisco, CA 94122",,,No,,Yes,"Grocery,Coffee & Tea",Yes,Yes,,,7:00 am-8:00 pm,,,,,3,7:00 am-8:00 pm,,Yes,Street,(415) 664-5574,Inexpensive,4.5 star rating,,7:00 am-8:00 pm,7:00 am-8:00 pm,Yes,7:00 am-8:00 pm,Golden Bear Trading Company,7:00 am-8:00 pm,,7:00 am-8:00 pm,Free,https://www.yelp.com/ /biz/golden-bear-trading-company-san-francisco-3
"549 Castro StSan Francisco, CA 94114",,,Yes,,Yes,Coffee & Tea,,Yes,,,6:00 am-8:00 pm,,,,,4,6:00 am-8:00 pm,,Yes,Street,(415) 875-9656,Inexpensive,4.5 star rating,,7:00 am-8:00 pm,7:00 am-8:00 pm,Yes,6:00 am-8:00 pm,Philz Coffee,6:00 am-8:00 pm,,6:00 am-8:00 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-2
"23rd St &amp; Treat AveSan Francisco, CA 94110",No,Hipster,No,Casual,Yes,"Mexican,Food Trucks",No,No,No,,10:00 am-6:00 pm,Lunch,Yes,Yes,No,5,10:00 am-6:00 pm,Average,Yes,Street,(415) 240-1224,Under $10,4.5 star rating,No,10:00 am-5:00 pm,Closed,Yes,10:00 am-6:00 pm,El Gallo Giro Taco Truck,10:00 am-6:00 pm,No,10:00 am-6:00 pm,No,https://www.yelp.com/ /biz/el-gallo-giro-taco-truck-san-francisco-2
"4251 A 18th StSan Francisco, CA 94114",,,Yes,,Yes,"Coffee & Tea,Chocolatiers & Shops",No,Yes,,,7:00 am-9:00 pm,,,,,6,7:00 am-8:00 pm,,No,Street,(415) 552-5128,Inexpensive,4.5 star rating,,7:00 am-8:00 pm,9:00 am-6:00 pm,Yes,7:00 am-8:00 pm,Five Star Truffles Co.,7:00 am-8:00 pm,,7:00 am-8:00 pm,Free,https://www.yelp.com/ /biz/five-star-truffles-co-san-francisco
"427 Castro StSan Francisco, CA 94114",,,No,,Yes,Coffee & Tea,No,Yes,,,7:00 am-9:00 pm,,,,,7,7:00 am-9:00 pm,,No,Street,(415) 552-6676,Inexpensive,4.5 star rating,,8:00 am-9:00 pm,9:00 am-8:00 pm,Yes,7:00 am-9:00 pm,Castro Coffee Company,7:00 am-9:00 pm,,7:00 am-9:00 pm,No,https://www.yelp.com/ /biz/castro-coffee-company-san-francisco-2
"2299 Market StSan Francisco, CA 94114",,,Yes,,Yes,Coffee & Tea,,Yes,,,7:00 am-5:00 pm,,,,,8,7:00 am-5:00 pm,,Yes,Street,(415) 400-5036,Inexpensive,4.5 star rating,,7:00 am-5:00 pm,7:00 am-5:00 pm,Yes,7:00 am-5:00 pm,Wildcraft Espresso Bar,7:00 am-5:00 pm,,7:00 am-5:00 pm,Free,https://www.yelp.com/ /biz/wildcraft-espresso-bar-san-francisco-2
"660 Chenery StSan Francisco, CA 94131",No,Casual,,Casual,Yes,"Cheese Shops,Sandwiches,Delis",No,Yes,No,,10:00 am-7:00 pm,Lunch,No,Yes,No,9,10:00 am-7:00 pm,Quiet,No,Street,(415) 333-3390,Under $10,5.0 star rating,No,10:00 am-6:30 pm,10:00 am-5:00 pm,Yes,10:00 am-7:00 pm,Cheese Boutique,10:00 am-7:00 pm,No,10:00 am-7:00 pm,No,https://www.yelp.com/ /biz/cheese-boutique-san-francisco-2
"248 Church StSan Francisco, CA 94114",Beer & Wine Only,Casual,No,Casual,Yes,"Bakeries,Sandwiches",Yes,Yes,No,,7:00 am-6:00 pm,Breakfast,Yes,Yes,No,10,Closed,Average,Yes,Street,(415) 558-0690,Under $10,4.5 star rating,No,7:00 am-7:00 pm,8:00 am-6:00 pm,Yes,7:00 am-6:00 pm,Thorough Bread &amp; Pastry,7:00 am-6:00 pm,No,7:00 am-6:00 pm,No,https://www.yelp.com/ /biz/thorough-bread-and-pastry-san-francisco
"1331 9th AveSan Francisco, CA 94122",No,Casual,No,Casual,Yes,"Bakeries,Pizza",No,Yes,No,,7:00 am-7:00 pm,"Breakfast, Lunch",No,Yes,No,11,Closed,Average,Yes,Street,(415) 566-3117,Under $10,4.5 star rating,No,7:30 am-6:00 pm,7:30 am-6:00 pm,Yes,7:00 am-7:00 pm,Arizmendi Bakery,7:00 am-7:00 pm,No,7:00 am-7:00 pm,No,https://www.yelp.com/ /biz/arizmendi-bakery-san-francisco
"15th &amp; Kansas SE CornerSan Francisco, CA 94103",,,No,,No,Coffee & Tea,,No,,,Closed,,,,,12,8:00 am-1:00 pm,,No,Street,,Inexpensive,5.0 star rating,,Closed,Closed,Yes,8:00 am-1:00 pm,Papa November,8:00 am-1:00 pm,,8:00 am-1:00 pm,No,https://www.yelp.com/ /biz/papa-november-san-francisco
"2029 Mission StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,Sandwiches,Yes,Yes,No,,6:30 am-5:00 pm,Lunch,No,Yes,No,13,6:30 am-5:00 pm,Average,Yes,Street,(415) 431-3811,Under $10,4.5 star rating,No,6:30 am-2:00 pm,Closed,Yes,6:30 am-5:00 pm,The Sandwich Place,6:30 am-5:00 pm,No,6:30 am-5:00 pm,No,https://www.yelp.com/ /biz/the-sandwich-place-san-francisco
"4298 24th StSan Francisco, CA 94114",,,Yes,,Yes,Coffee & Tea,,Yes,,,6:00 am-7:30 pm,,,,,14,6:00 am-7:30 pm,,No,Street,(415) 817-1510,Inexpensive,4.5 star rating,,6:30 am-7:30 pm,6:30 am-7:30 pm,Yes,6:00 am-7:30 pm,Philz Coffee,6:00 am-7:30 pm,,6:00 am-7:30 pm,Free,https://www.yelp.com/ /biz/philz-coffee-san-francisco-6
"2990 Mission StSan Francisco, CA 94110",No,Casual,,Casual,No,"Grocery,Middle Eastern",No,Yes,No,,10:00 am-8:00 pm,,No,No,No,15,10:00 am-8:00 pm,Quiet,No,Street,(415) 824-6555,Under $10,4.5 star rating,Yes,10:00 am-8:00 pm,10:00 am-8:00 pm,No,10:00 am-8:00 pm,Samiramis Imports,10:00 am-8:00 pm,No,10:00 am-8:00 pm,No,https://www.yelp.com/ /biz/samiramis-imports-san-francisco-2
"6 Monterey BlvdSan Francisco, CA 94131",No,"Casual, Intimate",Yes,Casual,Yes,"Coffee & Tea,Sandwiches",No,Yes,No,,6:00 am-2:00 pm,Breakfast,No,Yes,No,16,6:00 am-2:00 pm,Quiet,Yes,Street,(925) 705-2521,Under $10,4.5 star rating,No,7:00 am-2:00 pm,7:00 am-2:00 pm,Yes,6:00 am-2:00 pm,Cup Coffee Bar,6:00 am-2:00 pm,No,6:00 am-2:00 pm,Free,https://www.yelp.com/ /biz/cup-coffee-bar-san-francisco-4
